cur_datetime,UWG_canTemp_K,senWaste,
2004-06-01 00:05:00,287.334,22.599,
2004-06-01 00:10:00,288.115,0.674,
2004-06-01 00:15:00,287.657,20.955,
2004-06-01 00:20:00,287.976,21.176,
2004-06-01 00:25:00,287.825,21.501,
2004-06-01 00:30:00,287.810,21.536,
2004-06-01 00:35:00,287.791,21.579,
2004-06-01 00:40:00,287.788,21.588,
2004-06-01 00:45:00,287.785,21.597,
2004-06-01 00:50:00,287.783,21.602,
2004-06-01 00:55:00,287.782,21.607,
2004-06-01 01:00:00,287.781,21.605,
2004-06-01 01:05:00,287.780,21.605,
2004-06-01 01:10:00,287.779,21.608,
2004-06-01 01:15:00,287.783,21.600,
2004-06-01 01:20:00,287.784,21.598,
2004-06-01 01:25:00,287.784,21.598,
2004-06-01 01:30:00,287.784,21.599,
2004-06-01 01:35:00,287.784,21.601,
2004-06-01 01:40:00,287.783,21.603,
2004-06-01 01:45:00,287.783,21.604,
2004-06-01 01:50:00,287.782,21.606,
2004-06-01 01:55:00,287.782,21.608,
2004-06-01 02:00:00,287.781,21.522,
2004-06-01 02:05:00,287.780,21.522,
2004-06-01 02:10:00,287.780,21.522,
2004-06-01 02:15:00,287.780,21.522,
2004-06-01 02:20:00,287.782,21.519,
2004-06-01 02:25:00,287.784,21.514,
2004-06-01 02:30:00,287.788,21.507,
2004-06-01 02:35:00,287.791,21.499,
2004-06-01 02:40:00,287.796,21.490,
2004-06-01 02:45:00,287.800,21.480,
2004-06-01 02:50:00,287.804,21.471,
2004-06-01 02:55:00,287.808,21.463,
2004-06-01 03:00:00,287.812,21.537,
2004-06-01 03:05:00,288.067,0.084,
2004-06-01 03:10:00,288.083,0.084,
2004-06-01 03:15:00,288.084,0.084,
2004-06-01 03:20:00,288.072,0.084,
2004-06-01 03:25:00,288.070,0.084,
2004-06-01 03:30:00,288.070,0.084,
2004-06-01 03:35:00,288.071,0.084,
2004-06-01 03:40:00,288.073,0.084,
2004-06-01 03:45:00,288.075,0.084,
2004-06-01 03:50:00,288.077,0.084,
2004-06-01 03:55:00,288.079,0.084,
2004-06-01 04:00:00,288.080,0.337,
2004-06-01 04:05:00,288.084,0.337,
2004-06-01 04:10:00,288.085,0.337,
2004-06-01 04:15:00,288.086,0.337,
2004-06-01 04:20:00,288.086,0.337,
2004-06-01 04:25:00,288.086,0.337,
2004-06-01 04:30:00,288.086,0.337,
2004-06-01 04:35:00,288.087,0.337,
2004-06-01 04:40:00,288.087,0.337,
2004-06-01 04:45:00,288.088,0.337,
2004-06-01 04:50:00,288.088,0.337,
2004-06-01 04:55:00,288.088,0.337,
2004-06-01 05:00:00,288.089,2.274,
2004-06-01 05:05:00,288.108,2.274,
2004-06-01 05:10:00,288.114,2.274,
2004-06-01 05:15:00,288.069,2.274,
2004-06-01 05:20:00,288.066,2.274,
2004-06-01 05:25:00,288.073,2.274,
2004-06-01 05:30:00,288.079,2.274,
2004-06-01 05:35:00,288.085,2.274,
2004-06-01 05:40:00,288.089,2.274,
2004-06-01 05:45:00,288.093,2.274,
2004-06-01 05:50:00,288.096,2.274,
2004-06-01 05:55:00,288.100,2.274,
2004-06-01 06:00:00,288.102,7.917,
2004-06-01 06:05:00,288.137,7.917,
2004-06-01 06:10:00,288.148,7.917,
2004-06-01 06:15:00,288.155,7.917,
2004-06-01 06:20:00,288.177,7.917,
2004-06-01 06:25:00,288.195,7.917,
2004-06-01 06:30:00,288.209,7.917,
2004-06-01 06:35:00,288.220,7.917,
2004-06-01 06:40:00,288.229,7.917,
2004-06-01 06:45:00,288.237,7.917,
2004-06-01 06:50:00,288.245,7.917,
2004-06-01 06:55:00,288.251,7.917,
2004-06-01 07:00:00,288.257,8.422,
